domain,source_url,program_type,platform,contact_email,rewards_mentioned,reward_details,scope_summary,notes
infolegale.fr,https://infolegale.fr,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
ingeno.ca,https://ingeno.ca,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
innovecs.com,https://innovecs.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
insportline.cz,https://insportline.cz,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
institutomix.com.br,https://institutomix.com.br,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
intelas.com,https://intelas.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
interceptgroup.com,https://interceptgroup.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
interfacefinancial.com,https://interfacefinancial.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
investorlift.com,https://investorlift.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
invoicexpress.com,https://invoicexpress.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
jamloop.com,https://jamloop.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
jaz.ai,https://jaz.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
jelou.ai,https://jelou.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
jiminny.com,https://jiminny.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
jobin.cloud,https://jobin.cloud,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
jordigarcia.es,https://jordigarcia.es,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
jtkmarketing.com,https://jtkmarketing.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
juma.ai,https://juma.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
k9security.io,https://k9security.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
kanna4u.com,https://kanna4u.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
kease.io,https://kease.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
kenai.app,https://kenai.app,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
khatoco.com,https://khatoco.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
kilde.sg,https://kilde.sg,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
klealegal.com,https://klealegal.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
knips.com,https://knips.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
knoxed.com,https://knoxed.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
kobbr.com,https://kobbr.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
komodor.com,https://komodor.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
korl.co,https://korl.co,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
kotlinlang.org,https://kotlinlang.org,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
lastcallanalytics.com,https://lastcallanalytics.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
latitude.sh,https://latitude.sh,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
lawcyborg.com,https://lawcyborg.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
laylinetech.com,https://laylinetech.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
leadiq.com,https://leadiq.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
leadrat.com,https://leadrat.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
leandata.com,https://leandata.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
leasecalcs.com,https://leasecalcs.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
ledsone.co.uk,https://ledsone.co.uk,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
leftbrain.io,https://leftbrain.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
legalboards.io,https://legalboards.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
lendingspot.net,https://lendingspot.net,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
letstok.com,https://letstok.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
lettrlabs.com,https://lettrlabs.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
lezzoo.com,https://lezzoo.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
libris.ro,https://libris.ro,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
lifesight.io,https://lifesight.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
lightbringer.com,https://lightbringer.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
linguado.com,https://linguado.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
logestechs.com,https://logestechs.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
londonserenity.com,https://londonserenity.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
losant.com,https://losant.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
lottiefiles.com,https://lottiefiles.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
lotto-niedersachsen.de,https://lotto-niedersachsen.de,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
